id,movie_name,light,group,gal4,uas,init_frame_count,cop_frame_count,courtship_duration_sec,event,duration_frame
102,240627_EXP_26_0sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240627-163434_909682.log20240627-173200_640243.log_vid.avi,event,pIP10_GtACR1_event,pIP10,GtACR1,419,23905,240.6356691,1,23486
103,240627_EXP_28_0sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240627-163434_909682.log20240627-175916_916987.log_vid.avi,event,pIP10_GtACR1_event,pIP10,GtACR1,908,334500,3417.957546,0,333592
104,240628_CTR_02_1sec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240628-102245_113496.log_vid.avi,later,pIP10_GFP_later,pIP10,GFP,0,57022,584.2433792,1,57022
105,240628_CTR_03_1sec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240628-103510_167280.log_vid.avi,later,pIP10_GFP_later,pIP10,GFP,1938,41507,405.4210128,1,39569
106,240628_CTR_04_1sec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240628-104755_937302.log_vid.avi,later,pIP10_GFP_later,pIP10,GFP,1279,30392,298.2896869,1,29113
107,240628_CTR_05_1sec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240628-110437_053483.log_vid.avi,later,pIP10_GFP_later,pIP10,GFP,641,8833,83.9345296,1,8192
108,240628_CTR_06_0sec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240628-111712_465305.log_vid.avi,event,pIP10_GFP_event,pIP10,GFP,7599,56446,500.4825993,1,48847
109,240628_CTR_07_0sec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240628-112815_566723.log_vid.avi,event,pIP10_GFP_event,pIP10,GFP,1072,28868,284.7954277,1,27796
110,240628_CTR_08_0sec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240628-114024_370855.log_vid.avi,event,pIP10_GFP_event,pIP10,GFP,2139,33823,324.6316832,1,31684
111,240628_CTR_09_0sec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240628-115629_522804.log_vid.avi,event,pIP10_GFP_event,pIP10,GFP,764,50155,506.0565797,,49391
