id,movie_name,condition,light,group,gal4,init_timie_min,init_timie_sec,cop_timie_min,cop_timie_sec,latency,event
25,ATR_01_green150_fly_specific_231227_wing_extension_JO15_GtACR1,ATR,spe,jo15_ATR_spe,jo15,0,21,31,21,1860,0
26,ATR_02_green150_fly_specific_231227_wing_extension_JO15_GtACR1,ATR,spe,jo15_ATR_spe,jo15,0,0,13,42,822,1
27,ATR_05_green150_fly_specific_231227_wing_extension_JO15_GtACR1.mp4,ATR,spe,jo15_ATR_spe,jo15,0,15,20,2,1187,1
28,ATR_06_green150_fly_specific_231227_wing_extension_JO15_GtACR1,ATR,spe,jo15_ATR_spe,jo15,0,8,1,53,105,1
29,ATR_01_green150_fly_specific_240131_wing_extension_JO15_GtACR1.mp4,ATR,spe,jo15_ATR_spe,jo15,0,28,17,31,1023,1
30,ATR_06_green150_fly_pattern_240131_wing_extension_JO15_GtACR1.mp4,ATR,pattern,jo15_ATR_pattern,jo15,0,17,14,21,844,1
31,ATR_07_green150_fly_pattern_240131_wing_extension_JO15_GtACR1.mp4,ATR,pattern,jo15_ATR_pattern,jo15,0,2,7,32,450,1
32,ATR_08_green150_fly_pattern_240131_wing_extension_JO15_GtACR1.mp4,ATR,pattern,jo15_ATR_pattern,jo15,0,19,8,42,503,1
33,ATR_09_green150_fly_pattern_240131_wing_extension_JO15_GtACR1.mp4,ATR,pattern,jo15_ATR_pattern,jo15,0,22,6,36,374,1
34,ATR_08_green150_fly_pattern_240201_wing_extension_JO15_GtACR1.mp4,ATR,pattern,jo15_ATR_pattern,jo15,0,27,13,11,764,1
35,ATR_09_green150_fly_pattern_240201_wing_extension_JO15_GtACR1.mp4,ATR,pattern,jo15_ATR_pattern,jo15,0,26,4,18,232,1
36,ATR_10_green150_fly_pattern_240201_wing_extension_JO15_GtACR1.mp4,ATR,pattern,jo15_ATR_pattern,jo15,0,0,1,56,116,1
37,ATR_06_green150_fly_spe_240219_wing_extension_JO15_GtACR1.mp4,ATR,spe,jo15_ATR_spe,jo15,0,14,31,14,1860,0
38,ATR_12_green150_fly_spe_240219_wing_extension_JO15_GtACR1.mp4,ATR,spe,jo15_ATR_spe,jo15,0,24,6,47,383,1
39,ATR_13_green150_fly_spe_240219_wing_extension_JO15_GtACR1.mp4,ATR,spe,jo15_ATR_spe,jo15,0,0,31,0,1860,0
40,CTR_02_green150_fly_spe_240219_wing_extension_w1118_GtACR1.mp4,ATR,spe,w1118_ATR_spe,w1118,0,26,3,48,202,1
41,CTR_03_green150_fly_spe_240219_wing_extension_w1118_GtACR1.mp4,ATR,spe,w1118_ATR_spe,w1118,0,17,23,49,1412,1
42,CTR_04_green150_fly_spe_240219_wing_extension_w1118_GtACR1.mp4,ATR,spe,w1118_ATR_spe,w1118,0,21,6,9,348,1
43,CTR_05_green150_fly_pattern_240219_wing_extension_w1118_GtACR1.mp4,ATR,pattern,w1118_ATR_pattern,w1118,0,20,3,8,168,1
44,CTR_07_green150_fly_spe_240219_wing_extension_w1118_GtACR1.mp4,ATR,spe,w1118_ATR_spe,w1118,0,6,7,17,431,1
45,CTR_08_green150_fly_spe_240219_wing_extension_w1118_GtACR1.mp4,ATR,spe,w1118_ATR_spe,w1118,0,19,2,33,134,1
46,CTR_09_green150_fly_spe_240219_wing_extension_w1118_GtACR1.mp4,ATR,spe,w1118_ATR_spe,w1118,0,11,7,0,409,1
47,CTR_10_green150_fly_spe_240219_wing_extension_w1118_GtACR1.mp4,ATR,spe,w1118_ATR_spe,w1118,0,11,2,26,135,1
48,CTR_11_green150_fly_spe_240219_wing_extension_w1118_GtACR1.mp4,ATR,spe,w1118_ATR_spe,w1118,0,13,7,18,425,1
49,CTR_03_green150_fly_spe_240222_wing_extension_w1118_GtACR1.mp4,ATR,spe,w1118_ATR_spe,w1118,0,3,4,45,282,1
50,CTR_04_green150_fly_spe_240222_wing_extension_w1118_GtACR1.mp4,ATR,spe,w1118_ATR_spe,w1118,0,9,2,14,125,1
51,CTR_05_green150_fly_spe_240222_wing_extension_w1118_GtACR1.mp4,ATR,spe,w1118_ATR_spe,w1118,0,7,13,11,784,1
52,CTR_06_green150_fly_spe_240222_wing_extension_w1118_GtACR1.mp4,ATR,spe,w1118_ATR_spe,w1118,0,4,7,47,463,1
53,CTR_07_green150_fly_spe_240222_wing_extension_w1118_GtACR1.mp4,ATR,spe,w1118_ATR_spe,w1118,0,25,31,25,1860,0
54,CTR_09_green150_fly_spe_240222_wing_extension_w1118_GtACR1.mp4,ATR,spe,w1118_ATR_spe,w1118,0,35,31,35,1860,0
55,CTR_02_green150_fly_spe_240223_wing_extension_w1118_GtACR1.mp4,ATR,spe,w1118_ATR_spe,w1118,0,22,5,16,294,1
56,CTR_03_green150_fly_spe_240223_wing_extension_w1118_GtACR1.mp4,ATR,spe,w1118_ATR_spe,w1118,0,0,2,22,142,1
57,CTR_05_green150_fly_pattern_240223_wing_extension_w1118_GtACR1.mp4,ATR,pattern,w1118_ATR_pattern,w1118,0,23,9,52,569,1
58,CTR_06_green150_fly_pattern_240223_wing_extension_w1118_GtACR1.mp4,ATR,pattern,w1118_ATR_pattern,w1118,0,17,3,13,176,1
59,CTR_07_green150_fly_pattern_240223_wing_extension_w1118_GtACR1.mp4,ATR,pattern,w1118_ATR_pattern,w1118,0,3,2,49,166,1
60,CTR_08_green150_fly_pattern_240223_wing_extension_w1118_GtACR1.mp4,ATR,pattern,w1118_ATR_pattern,w1118,0,20,2,20,120,1
