,file_name,init_frame,cop_frame,total_frame,wing_extension_frame,rate,group,light_condition
14,240613_CTR_03_1sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240613-115650_915208.log_vid.avi,1016,29697,28680,5938,0.20704323570432356,pIP10_GtACR1_later,later
15,240613_CTR_04_1sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240613-120818_578639.log_vid.avi,1016,11268,10251,2929,0.28572822163691347,pIP10_GtACR1_later,later
16,240613_CTR_05_1sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240613-121812_745088.log_vid.avi,822,32088,31265,10273,0.32857828242443626,pIP10_GtACR1_later,later
17,240613_EXP_06_0sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240613-123253_759357.log_vid.avi,820,70625,69804,19082,0.27336542318491774,pIP10_GtACR1_event,event
18,240613_EXP_07_0sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240613-124712_222038.log_vid.avi,667,12990,12322,1918,0.15565654926148353,pIP10_GtACR1_event,event
19,240613_EXP_08_0sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240613-172149_660214.log_vid.avi,453,104912,104458,24063,0.23036052767619522,pIP10_GtACR1_event,event
20,240614_EXP_01_osec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240614-102834_956314.log_vid.avi,411,46481,46069,14872,0.32282011764961255,pIP10_GtACR1_event,event
21,240614_EXP_03_osec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240614-104501_229530.log_vid.avi,1262,11183,9920,631,0.06360887096774194,pIP10_GtACR1_event,event
22,240614_EXP_04_osec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240614-111321_089151.log_vid.avi,1033,26387,25353,5242,0.2067605411588372,pIP10_GtACR1_event,event
23,240614_EXP_05_osec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240614-114702_812100.log_vid.avi,1189,113852,112662,23173,0.205686034332783,pIP10_GtACR1_event,event
24,240614_EXP_06_osec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240614-121805_428082.log_vid.avi,933,31285,30351,4242,0.13976475239695563,pIP10_GtACR1_event,event
25,240614_EXP_07_osec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240614-124129_630074.log_vid.avi,3117,55189,52071,2898,0.05565477905167944,pIP10_GtACR1_event,event
26,240617_CTR_03_osec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240618-111150_207769.log_vid.avi,1290,12323,11032,3115,0.2823604060913706,pIP10_GFP_event,event
27,240617_CTR_04_osec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240618-111854_690106.log_vid.avi,264,19801,19536,2760,0.14127764127764128,pIP10_GFP_event,event
28,240617_CTR_05_osec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240618-112822_380603.log_vid.avi,1000,13779,12778,3202,0.25058694631397715,pIP10_GFP_event,event
29,240617_CTR_06_osec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240618-113422_409862.log_vid.avi,1049,98162,97112,60224,0.6201499299777576,pIP10_GFP_event,event
30,240617_CTR_07_osec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240618-124025_469980.log_vid.avi,1007,23866,22858,4731,0.20697348849418146,pIP10_GFP_event,event
31,240617_CTR_08_1sec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240618-124615_023356.log_vid.avi,1971,62030,60058,24514,0.4081721003030404,pIP10_GFP_later,later
32,240617_CTR_09_1sec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240618-130221_995735.log_vid.avi,1117,31461,30343,9481,0.31246086412022545,pIP10_GFP_later,later
